,Protein_ID,Compound_ID,Label
17675,P20960,SUB-7737,0
17902,O43915,SUB-5159,0
21840,P46010,SUB-50,0
6354,P18417,SUB-1230,1
8511,Q9BR01,SUB-4674,1
19114,A0A0A1EQY0,SUB-6952,0
1115,P26439,SUB-6092,1
23455,P41407,SUB-5668,0
6148,Q8GZC2,SUB-3599,1
10280,Q9AGH8,SUB-9972,1
11633,Q51947,SUB-602,1
18650,P21888,SUB-593,0
11080,P30837,SUB-9956,1
24760,Q588Z1,SUB-7901,0
16897,Q58820,SUB-1983,0
14942,Q03J44,SUB-9045,0
16173,Q04631,SUB-6625,0
15363,Q2Z1W3,SUB-4959,0
21650,A5JTM5,SUB-6568,0
25455,K4N0V2,SUB-1026,0
9649,A0A0J9X243,SUB-4801,1
4188,A3E7Z7,SUB-8234,1
2083,Q9AR22,SUB-4438,1
15075,Q974L0,SUB-6539,0
15050,O45307,SUB-600,0
15145,Q80VR3,SUB-1003,0
25950,P12955,SUB-5950,0
11076,P30837,SUB-1733,1
6448,P15304,SUB-7084,1
19348,P18417,SUB-9339,0
14113,P26439,SUB-9108,0
3131,Q12737,SUB-9999,1
23758,Q078T0,SUB-9589,0
14430,F9UM18,SUB-1276,0
20975,O34142,SUB-6147,0
6256,O65782,SUB-12,1
13055,Q8KHZ8,SUB-1261,0
20809,Q9YGB8,SUB-5363,0
3673,Q8KBL0,SUB-8718,1
5582,Q13093,SUB-2215,1
10348,P33160,SUB-6725,1
24341,A0A2I6U1R0,SUB-6879,0
3279,Q96YZ3,SUB-6041,1
25108,B2ZRE3,SUB-8809,0
9767,Q8NF37,SUB-5432,1
21012,G4WJC8,SUB-8286,0
517,P72224,SUB-7899,1
5089,Q05469,SUB-9721,1
12545,Q6P7B9,SUB-1183,1
16970,D7UT17,SUB-8845,0
24336,A0A2I6U1R0,SUB-7141,0
13064,P13298,SUB-3491,0
25772,D3RVD4,SUB-3695,0
3533,Q9I4G8,SUB-2469,1
16101,F2R038,SUB-9153,0
22596,Q9NR45,SUB-4210,0
17513,Q9XZT6,SUB-277,0
275,P80679,SUB-7096,1
21407,Q58122,SUB-4442,0
12900,V5AJG2,SUB-952,1
14488,P0A6L0,SUB-8433,0
25632,A6YS05,SUB-8284,0
25607,P22869,SUB-5528,0
7680,Q8KZT4,SUB-4495,1
13539,P26459,SUB-304,0
22422,P46011,SUB-7581,0
8722,Q9P8P3,SUB-5024,1
7463,Q56185,SUB-8990,1
10925,P04963,SUB-1291,1
16119,Q12737,SUB-2657,0
11530,P00452,SUB-7114,1
19180,P05982,SUB-4034,0
9558,C3VMV9,SUB-939,1
3003,Q9C5I1,SUB-6098,1
19398,P50163,SUB-2214,0
13778,Q0KEG0,SUB-7915,0
16867,Q9TRC7,SUB-9281,0
6996,Q1W2L4,SUB-6420,1
13187,P45574,SUB-8410,0
22129,Q8IJ74,SUB-1253,0
14510,Q24982,SUB-3051,0
9210,Q13126,SUB-5766,1
25030,Q8GI14,SUB-5963,0
22762,Q8NF37,SUB-8653,0
